"","Project","Merge_Scenario","has_merge_Conflict","has_build_conflict","has_integration_conflict","has_test_conflict","has_predictor","Methods_With_Conflicts","Conflicting_EditSameMC","Conflicting_EditSameMC_DS","Conflicting_EditSameFD","Conflicting_EditSameFD_DS","NonConflicting_EditSameMC","NonConflicting_EditSameMC_DS","NonConflicting_EditSameFD","NonConflicting_EditSameFD_DS","EditDiffMC","EditDifffMC_EditSameMC","EditDiffMC_EditionAddsMethodInvocation","EditDiffMC_EditionAddsMethodInvocation_EditSameMC"
"3393","querydsl","rev_afb19-094ab",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3466","querydsl","rev_8e64b-2e3ae",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3487","querydsl","rev_ee803-4a2d5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3497","querydsl","rev_c0ff2-b5d69",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3598","restheart","rev_90c8b-8bd30",0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
"3601","restheart","rev_9455e-5a470",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"3602","restheart","rev_c37d7-e90d0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3619","retrofit","rev_3418a-4d508",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3644","retrofit","rev_784a3-e60fd",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"3689","retrofit","rev_d661a-674d0",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3703","retrofit","rev_4b969-a9c05",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3748","retrofit","rev_dec2f-8ceb2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3864","scribejava","rev_04f42-a2887",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3889","Singularity","rev_ad0cc-39716",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"3966","Singularity","rev_64826-3cb58",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4014","Singularity","rev_46e77-aa2fe",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4092","Singularity","rev_a599c-f8a23",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4118","Singularity","rev_24059-78cc8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4149","Singularity","rev_2876f-fba95",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4150","Singularity","rev_0ed12-fed56",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"4173","spark","rev_631e1-e1286",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4186","spark","rev_d46ce-f762b",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4205","spark","rev_54745-eec48",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4227","spark","rev_cb790-89a0f",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4280","spark","rev_52df5-97140",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4313","spark","rev_fe2ba-d1e43",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4321","spark","rev_bcecb-c9a55",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"4336","spark","rev_433dc-77c85",0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0
"4358","spark","rev_21ef2-92db5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4434","stateless4j","rev_63782-fcc09",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4483","swagger-core","rev_058bd-c98a5",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4522","swagger-core","rev_f7dc3-53107",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4525","swagger-core","rev_eb45a-ce74c",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4531","swagger-core","rev_5648a-b3b9f",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4535","swagger-core","rev_60518-b7719",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4545","swagger-core","rev_a7c7d-52171",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"4548","swagger-core","rev_c85de-428b8",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
