Project,Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
acs-aem-commons,rev_768f0-d344d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_7ecd9-849d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_7e6d3-399ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_81efb-806d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_b293d-79e66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_71a96-3d78c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_8f09b-24699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_65bda-84f41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2d419-ecde9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_fff6f-73c38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_1b232-6ec29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2782e-4b5b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_a8a43-e5e11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_dc7d6-6b442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_5aff4-e4954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_e6d21-ccdb4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_c981f-16e6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_6a9f0-bcd81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_fdb22-5902e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_0dee1-5a910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_7a332-9e9e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_f9736-284dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_0fe10-ff402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_5aa77-3177c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_7183e-d4183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_bf26a-69cf8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_859cf-a4fb5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_85bee-fa6fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2c563-1c04d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_5df84-3be93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_433d5-8a331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_8a331-cecc0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_621c5-3861f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_f795d-e551b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_77c24-2ea02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_dc1e4-45719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_35b00-460bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_a2486-608e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_ecf6b-4ed25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_31558-f045a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_2edb9-f0f2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_f0f2c-b8237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_ab107-b9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_433ea-c2306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_de012-1022e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_66253-29a51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_de012-940bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acs-aem-commons,rev_35eba-afa4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
